time,voltage,rpm,direction
0,0,0,up
0.01,0,0,up
0.02,0,0,up
0.03,0,0,up
0.04,0,0,up
0.05,0,0,up
0.06,0,0,up
0.07,0,0,up
0.08,0,0,up
0.09,0,0,up
0.1,0,0,up
0.11,0,0,up
0.12,0,0,up
0.13,0,0,up
0.14,0,0,up
0.15,0,0,up
0.16,0,0,up
0.17,0,0,up
0.18,0,0,up
0.19,0,0,up
0.2,0,0,up
0.21,0,0,up
0.22,0,0,up
0.23,0,0,up
0.24,0,0,up
0.25,0,0,up
0.26,0,0,up
0.27,0,0,up
0.28,0,0,up
0.29,0,0,up
0.3,0,0,up
0.31,0,0,up
0.32,0,0,up
0.33,0,0,up
0.34,0,0,up
0.35,0,0,up
0.36,0,0,up
0.37,0,0,up
0.38,0,0,up
0.39,0,0,up
0.4,0,0,up
0.41,0,0,up
0.42,0,0,up
0.43,0,0,up
0.44,0,0,up
0.45,0,0,up
0.46,0,0,up
0.47,0,0,up
0.48,0,0,up
0.49,0,0,up
0.5,0,0,up
0.51,0,0,up
0.52,0,0,up
0.53,0,0,up
0.54,0,0,up
0.55,0,0,up
0.56,0,0,up
0.57,0,0,up
0.58,0,0,up
0.59,0,0,up
0.6,0,0,up
0.61,0,0,up
0.62,0,0,up
0.63,0,0,up
0.64,0,0,up
0.65,0,0,up
0.66,0,0,up
0.67,0,0,up
0.68,0,0,up
0.69,0,0,up
0.7,0,0,up
0.71,0,0,up
0.72,0,0,up
0.73,0,0,up
0.74,0,0,up
0.75,0,0,up
0.76,0,0,up
0.77,0,0,up
0.78,0,0,up
0.79,0,0,up
0.8,0,0,up
0.81,0,0,up
0.82,0,0,up
0.83,0,0,up
0.84,0,0,up
0.85,0,0,up
0.86,0,0,up
0.87,0,0,up
0.88,0,0,up
0.89,0,0,up
0.9,0,0,up
0.91,0,0,up
0.92,0,0,up
0.93,0,0,up
0.94,0,0,up
0.95,0,0,up
0.96,0,0,up
0.97,0,0,up
0.98,0,0,up
0.99,0,0,up
1,0,0,up
1.01,0,0,up
1.02,0,0,up
1.03,0,0,up
1.04,0,0,up
1.05,0,0,up
1.06,0,0,up
1.07,0,0,up
1.08,0,0,up
1.09,0,0,up
1.1,0,0,up
1.11,0,0,up
1.12,0,0,up
1.13,0,0,up
1.14,0,0,up
1.15,0,0,up
1.16,0,0,up
1.17,0,0,up
1.18,0,0,up
1.19,0,0,up
1.2,0,0,up
1.21,0,0,up
1.22,0,0,up
1.23,0,0,up
1.24,0,0,up
1.25,0,0,up
1.26,0,0,up
1.27,0,0,up
1.28,0,0,up
1.29,0,0,up
1.3,0,0,up
1.31,0,0,up
1.32,0,0,up
1.33,0,0,up
1.34,0,0,up
1.35,0,0,up
1.36,0,0,up
1.37,0,0,up
1.38,0,0,up
1.39,0,0,up
1.4,0,0,up
1.41,0,0,up
1.42,0,0,up
1.43,0,0,up
1.44,0,0,up
1.45,0,0,up
1.46,0,0,up
1.47,0,0,up
1.48,0,0,up
1.49,0,0,up
1.5,0,0,up
1.51,0,0,up
1.52,0,0,up
1.53,0,0,up
1.54,0,0,up
1.55,0,0,up
1.56,0,0,up
1.57,0,0,up
1.58,0,0,up
1.59,0,0,up
1.6,0,0,up
1.61,0,0,up
1.62,0,0,up
1.63,0,0,up
1.64,0,0,up
1.65,0,0,up
1.66,0,0,up
1.67,0,0,up
1.68,0,0,up
1.69,0,0,up
1.7,0,0,up
1.71,0,0,up
1.72,0,0,up
1.73,0,0,up
1.74,0,0,up
1.75,0,0,up
1.76,0,0,up
1.77,0,0,up
1.78,0,0,up
1.79,0,0,up
1.8,0,0,up
1.81,0,0,up
1.82,0,0,up
1.83,0,0,up
1.84,0,0,up
1.85,0,0,up
1.86,0,0,up
1.87,0,0,up
1.88,0,0,up
1.89,0,0,up
1.9,0,0,up
1.91,0,0,up
1.92,0,0,up
1.93,0,0,up
1.94,0,0,up
1.95,0,0,up
1.96,0,0,up
1.97,0,0,up
1.98,0,0,up
1.99,0,0,up
2,0,0,up
2.01,0,0,up
2.02,0,0,up
2.03,0,0,up
2.04,0,0,up
2.05,0,0,up
2.06,0,0,up
2.07,0,0,up
2.08,0,0,up
2.09,0,0,up
2.1,0,0,up
